Country.of.Origin,Number.of.Bags,Farm.Name,Bag.Weight,Lot.Number,In.Country.Partner,Mill,Harvest.Year,ICO.Number,Grading.Date,Company,Owner,Altitude,Variety,Region,Status,Producer,Processing.Method,Aroma,Uniformity,Flavor,Clean.Cup,Aftertaste,Sweetness,Acidity,Overall,Body,Defects,Balance,Total.Cup.Points,Moisture,Color,Category.One.Defects,Category.Two.Defects,Quakers,Expiration,Certification.Body,Certification.Address,Certification.Contact
Guatemala,25,finca aurora,69 kg,11/993/06,Asociacion Nacional Del Café,finca aurora,2020,11/993/06,"May 26th, 2020","cepa centroamerica, s. a.",byron gonzalez,1450,Caturra,cobán alta verapaz,Completed,"POLA, S. A.",Washed / Wet,7.42,10.00,7.50,10.00,7.25,10.00,7.50,7.50,7.50,0.00,7.50,82.17,10 %,Green ,0 full defects,2 full defects,1,"May 26th, 2021",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14
Guatemala City, Guatemala 1014",Brayan Cifuentes - 
Guatemala,186,unex(guatemala),69 kg,11/23/765,Japan Coffee Exchange ,unex(guatemala),2019,11/23/765,"December 28th, 2020","niponn coffee trading co.,ltd.",yukinobu ueda,1400,Bourbon,oriente,Completed,Unex(Guatemala),Washed / Wet,7.50,10.00,7.50,10.00,7.33,10.00,7.42,7.50,7.50,0.00,7.42,82.17,12 %,Bluish-Green ,0 full defects,2 full defects,1,"December 28th, 2021",Japan Coffee Exchange ,"〒413-0002 静岡県熱海市伊豆山１１７３−５８　　　　　　　　 1173-58 Izusan, Atami, Shizuoka, 413-0002  JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
Guatemala,206,unex(guatemala),69 kg,11/23/05,Japan Coffee Exchange ,unex(guatemala),2020,11/23/05,"February 18th, 2021","nippon coffee trading co.,ltd.",yukinobu ueda,1400,Bourbon,oriente,Completed,Unex(Guatemala),Washed / Wet,7.58,10.00,7.50,10.00,7.33,10.00,7.50,7.50,7.33,0.00,7.42,82.17,11.5 %,greenish ,0 full defects,3 full defects,2,"February 18th, 2022",Japan Coffee Exchange ,"〒413-0002 静岡県熱海市伊豆山１１７３−５８　　　　　　　　 1173-58 Izusan, Atami, Shizuoka, 413-0002  JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
Costa Rica,275,hacienda san ignacio,18975 kg,HACIENDA SAN IGNACIO,Specialty Coffee Association of Costa Rica,la giorgia,2020 / 2021,5-019-0023,"December 8th, 2020",grupo ecom,ruddy azofeifa,1200,Caturra,central valley,Completed,HACIENDA SAN IGNACIO,Washed / Wet,7.42,10.00,7.42,10.00,7.25,10.00,7.42,7.42,7.58,0.00,7.58,82.08,10 %,Blue-Green ,0 full defects,3 full defects,0,"December 8th, 2021",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685
Guatemala,275,maria isabel,69 kg,11/23/560,Japan Coffee Exchange ,rio colorado,2019,11/23/560,"October 27th, 2020","tokyo allied coffee roasters co.,ltd.",takanori suzuki,1600,Bourbon,fraijanes,Completed,UNEX,Washed / Wet,7.67,10.00,7.50,10.00,7.33,10.00,7.42,7.42,7.33,0.00,7.42,82.08,12 %,Green ,0 full defects,4 full defects,1,"October 27th, 2021",Japan Coffee Exchange ,"〒413-0002 静岡県熱海市伊豆山１１７３−５８　　　　　　　　 1173-58 Izusan, Atami, Shizuoka, 413-0002  JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
Vietnam,1,apollo estate,2 kg,Apollo Washed (2) 2020,Specialty Coffee Association ,dry mill,2020,,"April 8th, 2021","sunvirtue co., ltd.","sunvirtue co., ltd.",1040,Catimor,dalat,Completed,"Yeh, Li Chuan",Washed / Wet,7.42,10.00,7.33,10.00,7.25,10.00,7.67,7.25,7.75,0.00,7.33,82.00,9.3 %,Green ,0 full defects,1 full defects,0,"April 8th, 2022",Specialty Coffee Association ,"117 W 4th St, Suite 300
Santa Ana, CA 92701

 ",Jessica Rodriguez - 562-999-3164
El Salvador,250,agua caliente ,69 kg,1-13,Salvadoran Coffee Council,agua caliente ,2021,09/392/68,"March 26th, 2021",consejo salvadoreño del café,consejo salvadoreño del café,1200,Bourbon,apaneca-ilamatepec,Completed,"J.J. Borja Nathan, S.A. de C.V. ",Washed / Wet,7.17,10.00,7.50,10.00,7.00,10.00,7.50,7.50,7.67,0.00,7.67,82.00,0 %,Bluish-Green ,0 full defects,2 full defects,5,"March 26th, 2022",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600
Taiwan,2,十萬咖啡（shin wan café),50 kg,2020臺南市精品咖啡評鑑批次 ,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),十萬咖啡（shin wan café),2020,,"September 1st, 2020",tcl 台灣咖啡研究室,"lin, che-hao krude 林哲豪",680,Gesha,"dongshan dist., tainan city",Completed,陳英俊 (Chen Ying Jun),Pulped natural / honey,7.50,10.00,7.50,10.00,7.42,10.00,7.17,7.42,7.58,0.00,7.42,82.00,13 %,None ,0 full defects,1 full defects,0,"September 1st, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland ",Gloria Pedroza - +41417287296
Mexico,275,finca pluma hidalgo,69 kg,017,Centro Agroecológico del Café A.C. ,cosecha bienestar sapi sa de cv,2019,,"August 17th, 2020",centro agroecológico del café a. c.,cosecha bienestar sapi de cv,1300,Typica,mexico,Completed,COSECHA BIENESTAR SAPI DE CV,Washed / Wet,7.50,10.00,7.50,10.00,7.25,10.00,7.42,7.58,7.33,0.00,7.33,81.92,11 %,Green ,0 full defects,0 full defects,0,"August 17th, 2021",Centro Agroecológico del Café A.C. ,"Instituto de Ecología A. C., Campus III Edificio A Planta Baja Carretera Antigua a Coatepec No. 351 Col. El Haya C.P. 91070 Xalapa, Veracruz, México.",Stephany Escamilla Femat - Tel. +52 228 8421800 Ext. 3092
Guatemala,250,unex(guatemala),69 kg,11/23/42,Japan Coffee Exchange ,unex(guatemala),2019,11/23/42,"November 23rd, 2020","nippon coffee trading co.,ltd",yukinobu ueda,1400,Bourbon,oriente,Completed,Unex(Guatemala),Washed / Wet,7.42,10.00,7.42,10.00,7.50,10.00,7.42,7.42,7.33,0.00,7.33,81.83,12 %,greenish ,0 full defects,1 full defects,0,"November 23rd, 2021",Japan Coffee Exchange ,"〒413-0002 静岡県熱海市伊豆山１１７３−５８　　　　　　　　 1173-58 Izusan, Atami, Shizuoka, 413-0002  JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
Brazil,430,not specificated,60 kg,002/1738/0121,Japan Coffee Exchange ,dry mil of cocapil cooperative,2020 / 2021,002/1738/0121,"October 27th, 2020",marubeni corporation,ikuto uehara,1200-1300,Other,alta mogiana,Completed,Cocapil cooperative,Natural / Dry,7.58,10.00,7.25,10.00,7.33,10.00,7.42,7.42,7.42,0.00,7.33,81.75,11.5 %,Green ,0 full defects,2 full defects,2,"October 27th, 2021",Japan Coffee Exchange ,"〒413-0002 静岡県熱海市伊豆山１１７３−５８　　　　　　　　 1173-58 Izusan, Atami, Shizuoka, 413-0002  JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
Taiwan,20,御香咖啡園  (yuxiang coffee garden),50 kg,2020 臺南市精品咖啡評鑑批次,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),御香咖啡園  (yuxiang coffee garden),2019,,"September 1st, 2020",tcl 台灣咖啡研究室,"lin, che-hao krude 林哲豪",650,Other,"dongshan dist., tainan city",Completed,"陳建源  (CHEN, CHIEN-YUAN)",Washed / Wet,7.33,10.00,7.50,10.00,7.25,10.00,7.25,7.33,7.75,0.00,7.33,81.75,11 %,Bluish-Green ,0 full defects,0 full defects,0,"September 1st, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland ",Gloria Pedroza - +41417287296
Indonesia,320,"pondokbaru, benermeriah",60 kg,ptraas no.2,Specialty Coffee Association of Indonesia,"pondokbaru, benermeriah",2020,15/3515/57 & 15/3515/58,"September 29th, 2020",pt rajawali artha agro sejahtera (ptraas),ptraas,1200,Mandheling,sumatra,Completed,PT. Rajawali Artha Agro Sejahtera,Washed / Wet,7.42,10.00,7.33,10.00,7.42,10.00,7.42,7.33,7.33,0.00,7.42,81.67,12 %,Green ,0 full defects,4 full defects,3,"September 29th, 2021",Specialty Coffee Association of Indonesia,"Ministry of Agriculture Republic Indonesia, Build C 5th Floor wing B Room 515 . Jl. Harsono RM No. 3, Ragunan, South Jakarta, Jakarta
",Mahardini Farizki - 081284251303 / 085780031543
Honduras,275,las cuchillas,69 kg,320,Instituto Hondureño del Café,dry mill,2020,13-111-195,"June 2nd, 2020",mercon honduras,juan manuel sanchez silvestre,1500,Catuai,comayagua,Completed,Fausto Nahun Maldonado,Washed / Wet,7.58,10.00,7.50,10.00,7.17,10.00,7.25,7.42,7.33,0.00,7.42,81.67,11 %,Green ,0 full defects,4 full defects,0,"June 2nd, 2021",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042
Honduras,150,el ejido,69 kg,353,Instituto Hondureño del Café,"desculpado, lavado y secado en secadoras solares",2020,13-154-185,"May 21st, 2020",coffee planet corporation s.a,janny marlith torres,1600,Catuai,copan,Completed,Origenes Coffee Plantation,Washed / Wet,7.58,10.00,7.42,10.00,7.25,10.00,7.33,7.42,7.42,0.00,7.25,81.67,10 %,Green ,0 full defects,2 full defects,0,"May 21st, 2021",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042
Brazil,320,fazenda bom jardim,60 kg,1,Blossom Valley International宸嶧國際,dry mill,2019,,"November 7th, 2020",mr.brown cafe,mr.brown cafe,1100,Bourbon,"minas gerais state, cerrado region",Completed,Lucas V. Nascimento,Natural / Dry,7.33,10.00,7.33,10.00,7.33,10.00,7.25,7.42,7.58,0.00,7.33,81.58,10.5 %,greenish ,0 full defects,0 full defects,0,"November 7th, 2021",Blossom Valley International宸嶧國際,"No.72 Mo-Fan St. Taiwan 
Zip: 403
",Damon Chen陳嘉峻 - +886423022323 
Guatemala,275,linda vista,69 kg,11-973-1040,Asociacion Nacional Del Café,linda vista,2020,11-973-1040,"September 9th, 2020","mercon guatemala, s. a.",angelica paola citan lopez,1800,Catuai,santa rosa,Completed,PABLO ARTURO CHUY FLORES,Natural / Dry,7.25,10.00,7.42,10.00,7.17,10.00,7.58,7.33,7.33,0.00,7.42,81.50,10 %,Green ,0 full defects,9 full defects,3,"September 9th, 2021",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14
Guatemala City, Guatemala 1014",Brayan Cifuentes - 
El Salvador,275,tres volcanes ,69 kg,6,Salvadoran Coffee Council,acpa. ataisi de r.l. ,2019,9,"May 19th, 2020",consejo salvadoreño del café,consejo salvadoreño del café,1400,Bourbon,apaneca - ilamatepec,Completed,ACPA. ATAISI DE R.L. ,Washed / Wet,7.25,10.00,7.58,10.00,7.33,10.00,7.42,7.25,7.25,0.00,7.33,81.42,0 %,Bluish-Green ,0 full defects,2 full defects,3,"May 19th, 2021",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600
Colombia,375,various farms,70 kg,3/37/03931,Japan Coffee Exchange ,dry mill,2019,3/37/03931,"October 27th, 2020",marubeni corporation,ikuto uehara,"1,200-1,900",Other,mainly middle of colombia,Completed,racafe,Washed / Wet,7.42,10.00,7.25,10.00,7.33,10.00,7.25,7.33,7.33,0.00,7.42,81.33,12 %,Green ,0 full defects,8 full defects,3,"October 27th, 2021",Japan Coffee Exchange ,"〒413-0002 静岡県熱海市伊豆山１１７３−５８　　　　　　　　 1173-58 Izusan, Atami, Shizuoka, 413-0002  JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
Guatemala,100,beneficio el torreon,69 kg,11/23/473,Asociacion Nacional Del Café,beneficio ixchel,2020,11/23/473,"April 21st, 2020","unex (guatemala), s. a.",byron gonzalez,1901.64,Bourbon,oriente,Completed,AGROINDUSTRIAS CAFETALERAS,Washed / Wet,7.42,10.00,7.50,10.00,7.17,10.00,7.42,7.25,7.25,0.00,7.33,81.33,9 %,Green ,0 full defects,4 full defects,2,"April 21st, 2021",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14
Guatemala City, Guatemala 1014",Brayan Cifuentes - 
Honduras,282,not specificated,69 kg,13/186/046,Japan Coffee Exchange ,dry mill of safracafe,2020,13/186/046,"October 27th, 2020",marubeni corporation,ikuto uehara,1200-1500,Other,honduras copan,Completed,Aprocafesca,Washed / Wet,7.50,10.00,7.33,10.00,7.25,10.00,7.33,7.33,7.25,0.00,7.25,81.25,12 %,Green ,0 full defects,0 full defects,2,"October 27th, 2021",Japan Coffee Exchange ,"〒413-0002 静岡県熱海市伊豆山１１７３−５８　　　　　　　　 1173-58 Izusan, Atami, Shizuoka, 413-0002  JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
Honduras,275,cluster beneficio santa rosa,69 kg,24,Instituto Hondureño del Café,beneficio santa rosa,2021,13123033,"February 23rd, 2021",beneficio santa rosa,beneficio santa rosa,1250,Catuai,copan,Completed,Beneficio Santa Rosa,Washed / Wet,7.50,10.00,7.33,10.00,7.17,10.00,7.17,7.33,7.42,0.00,7.33,81.25,10.6 %,Green ,0 full defects,1 full defects,1,"February 23rd, 2022",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042
Indonesia,320,"pondokbaru, benermeriah",60 kg,ptraas no.2,Specialty Coffee Association of Indonesia,"pondokbaru, benermeriah",2020,15/3515/57 & 15/3515/58,"July 20th, 2020",pt rajawali artha agro sejahtera (ptraas),ptraas,1200,Mandheling,sumatra,Completed,PT. Rajawali Artha Agro Sejahtera,Washed / Wet,7.33,10.00,7.33,10.00,7.17,10.00,7.50,7.25,7.42,0.00,7.08,81.08,12 %,Green ,0 full defects,4 full defects,8,"July 20th, 2021",Specialty Coffee Association of Indonesia,"Ministry of Agriculture Republic Indonesia, Build C 5th Floor wing B Room 515 . Jl. Harsono RM No. 3, Ragunan, South Jakarta, Jakarta
",Mahardini Farizki - 081284251303 / 085780031543
Honduras,275,cerro negro ,69 kg,2668,Instituto Hondureño del Café,seco,2019,13-108-1054,"July 9th, 2020",compañia hondureña del café s.a. de c.v.,compañia hondureña del cafe s.a de c.v. ,1400,Catimor,"zona de santa marta, municipio de san marcos, departamento de ocotepeque, honduras",Completed,Feliciano Rivera,Washed / Wet,7.50,10.00,7.33,10.00,7.08,10.00,7.17,7.17,7.50,0.00,7.25,81.00,10 %,Green ,0 full defects,5 full defects,0,"July 9th, 2021",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042
Costa Rica,275,hacienda san ignacio,18975 kg,HACIENDA SAN IGNACIO,Specialty Coffee Association of Costa Rica,la giorgia,2020 / 2021,N/A,"November 30th, 2020",cafetalera  internacional cafinter s.a,ruddy azofeifa,1200,Caturra,central valley,Completed,HACIENDA SAN IGNACIO,Washed / Wet,7.58,10.00,7.25,10.00,7.08,10.00,7.42,7.17,7.17,0.00,7.33,81.00,11 %,Green ,0 full defects,5 full defects,18,"November 30th, 2021",Specialty Coffee Association of Costa Rica,"Blvd Rohrmoser, de Prisma Dental 200 norte y 25 oeste, casa 21",Noelia Villalobos - (506) 2220 0685
Nicaragua,165,mercon coffee group cisa,69 kg,017/001/623-1663,Japan Coffee Exchange ,mercon coffee group cisa,2019,017/001/623-1663,"October 27th, 2020",ncc,yukinobu ueda,1300,Catuai,matagalpa,Completed,Mercon Coffee Group CISA,Washed / Wet,7.33,10.00,7.25,10.00,7.25,10.00,7.25,7.25,7.25,0.00,7.25,80.83,12 %,Green ,0 full defects,0 full defects,2,"October 27th, 2021",Japan Coffee Exchange ,"〒413-0002 静岡県熱海市伊豆山１１７３−５８　　　　　　　　 1173-58 Izusan, Atami, Shizuoka, 413-0002  JAPAN",松澤　宏樹　Koju Matsuzawa - +81(0)9085642901
Nicaragua,275,aldea global,69 kg,P48161,Asociación de Cafés Especiales de Nicaragua ,aldea coffee,2020,017/191/1841,"July 14th, 2020",asociación aldea global jinotega,asociación aldea global jinotega,1100,SHG,matagalpa,Completed,Aldea Global,Washed / Wet,7.33,10.00,7.17,10.00,6.83,10.00,7.25,7.33,7.50,0.00,7.33,80.75,12 %,Green ,3 full defects,12 full defects,2,"July 14th, 2021",Asociación de Cafés Especiales de Nicaragua ,"Del Hotel Seminole 2 C al lago, 1 C arriba.",Maria Ines Benavidez Toval - 011-(505)-8396 4717
El Salvador,275,tuxpal ,69 kg,1,Salvadoran Coffee Council,tuxpal ,2019,09-392-97,"July 17th, 2020",consejo salvadoreño del café,consejo salvadoreño del café,1200,Bourbon,apaneca-ilamatepec,Completed,"Tejemet, S.A. de C.V. ",Washed / Wet,7.08,10.00,7.08,10.00,7.00,10.00,7.42,7.33,7.42,0.00,7.33,80.67,0 %,Green ,0 full defects,6 full defects,1,"July 17th, 2021",Salvadoran Coffee Council,"Final 1a. Av. Norte y 13 Calle Pte., dentro de las instalaciones del MAG",Tomas Bonilla - (503) 2505-6600
Vietnam,1,apollo estate,2 kg,Apollo Honey (2) 2020,Specialty Coffee Association ,dry mill,2020,,"April 1st, 2021","sunvirtue co., ltd.","sunvirtue co., ltd.",1040,Catimor,dalat,Completed,"Yeh, Li Chuan",Washed / Wet,6.92,10.00,7.67,10.00,6.50,10.00,7.08,7.58,7.17,0.00,7.50,80.42,10.2 %,Bluish-Green ,0 full defects,0 full defects,0,"April 1st, 2022",Specialty Coffee Association ,"117 W 4th St, Suite 300
Santa Ana, CA 92701

 ",Jessica Rodriguez - 562-999-3164
Guatemala,275,cascajal farm,69 kg,1,Blossom Valley International宸嶧國際,scl mill,2020,,"January 21st, 2021",mr.brown cafe,mr.brown cafe,1300-1800,Other,guatemala oriente,Completed,Amado Palencia,Washed / Wet,7.17,10.00,7.33,10.00,7.08,10.00,7.25,7.25,7.17,0.00,7.17,80.42,11.5 %,Green ,0 full defects,0 full defects,0,"January 21st, 2022",Blossom Valley International宸嶧國際,"No.72 Mo-Fan St. Taiwan 
Zip: 403
",Damon Chen陳嘉峻 - +886423022323 
Brazil,320,alto cafezal,60 kg,1585841,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),wolthers,2019,002/4317/0084,"November 4th, 2020",nestle nespresso sa,alexis rodriguez,1400,Catuai,cerrado,Completed,Alto Cafezal,Natural / Dry,7.08,10.00,7.08,10.00,7.25,10.00,7.42,7.00,7.42,0.00,6.92,80.17,11 %,Yellow-Green - Natural coffee ,0 full defects,4 full defects,2,"November 4th, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland ",Gloria Pedroza - +41417287296
Taiwan,5,175 coffee,50 kg,2020 臺南市精品咖啡評鑑批次,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),175 coffee,2019,,"September 1st, 2020",tcl 台灣咖啡研究室,"lin, che-hao krude 林哲豪",650,Other,"dongshan dist., tainan city",Completed,賴東卿 (Don-chin-Lai),Washed / Wet,7.33,10.00,7.17,10.00,6.92,10.00,6.92,7.00,7.33,0.00,7.42,80.08,11 %,Bluish-Green ,0 full defects,0 full defects,0,"September 1st, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland ",Gloria Pedroza - +41417287296
Indonesia,320,"pondokbaru, benermeriah",60 kg,ptraas no.2,Specialty Coffee Association of Indonesia,"pondokbaru, benermeriah",2020,15/3515/57 & 15/3515/58,"August 19th, 2020",pt rajawali artha agro sejahtera (ptraas),ptraas,1200,Mandheling,sumatra,Completed,PT. Rajawali Artha Agro Sejahtera,Washed / Wet,7.25,10.00,7.42,10.00,7.00,10.00,7.08,7.08,7.17,0.00,7.08,80.08,13 %,Green ,0 full defects,1 full defects,5,"August 19th, 2021",Specialty Coffee Association of Indonesia,"Ministry of Agriculture Republic Indonesia, Build C 5th Floor wing B Room 515 . Jl. Harsono RM No. 3, Ragunan, South Jakarta, Jakarta
",Mahardini Farizki - 081284251303 / 085780031543
Brazil,320,n/a,60 kg,1593771,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),ecom,2019,002-1352-0196,"October 30th, 2020",nestle nespresso sa,alexis rodriguez,1300,Bourbon,cerrado,Completed,n/a,Pulped natural / honey,7.42,10.00,7.17,10.00,7.25,10.00,7.17,7.00,7.08,0.00,6.92,80.00,11 %,Yellow-Green - Natural coffee ,0 full defects,3 full defects,0,"October 30th, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland ",Gloria Pedroza - +41417287296
Guatemala,275,linda vista,69 kg,11-973-1040,Asociacion Nacional Del Café,húmedo,2020,11-973-1040,"August 21st, 2020","mercon guatemala, s. a.",byron gonzalez,1800,Catuai,santa rosa,Completed,PABLO ARTURO CHUY FLORES,Natural / Dry,7.00,10.00,7.08,10.00,7.00,10.00,7.17,7.08,7.25,0.00,7.00,79.58,11 %,Green ,0 full defects,5 full defects,1,"August 21st, 2021",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14
Guatemala City, Guatemala 1014",Brayan Cifuentes - 
Guatemala,275,n/a,69 kg,1593771,NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),exportcafe - ecom,2019,011-063-1333,"November 4th, 2020",nestle nespresso sa,alexis rodriguez,1798,Other,huehuetenango,Completed,Agua Santa,Washed / Wet,7.50,9.33,7.42,9.33,7.33,9.33,7.58,7.67,7.58,-1.33,7.75,79.50,12 %,Green ,1 full defects,7 full defects,3,"November 4th, 2021",NKG Quality Service (a division of Bernhard Rothfos Intercafé AG),"Bahnhofstrasse 22 6300 Zug, Switzerland ",Gloria Pedroza - +41417287296
Nicaragua,271,aldea global,69 kg,P48161,Asociación de Cafés Especiales de Nicaragua ,aldea coffee,2020,017/191/1841,"June 26th, 2020",asociación aldea global jinotega,asociación aldea global jinotega,1100,SHG,matagalpa,Completed,Aldea Global,Washed / Wet,7.17,10.00,6.67,10.00,6.42,10.00,7.08,6.92,7.17,0.00,6.92,78.33,13 %,Green ,0 full defects,1 full defects,0,"June 26th, 2021",Asociación de Cafés Especiales de Nicaragua ,"Del Hotel Seminole 2 C al lago, 1 C arriba.",Maria Ines Benavidez Toval - 011-(505)-8396 4717
Indonesia,320,"pondokbaru, benermeriah",60 kg,ptraas no.2,Specialty Coffee Association of Indonesia,"pondokbaru, benermeriah",2020,15/3515/57 & 15/3515/58,"September 9th, 2020",pt rajawali artha agro sejahtera (ptraas),ptraas,1200,Mandheling,sumatra,Completed,PT. Rajawali Artha Agro Sejahtera,Washed / Wet,7.58,7.33,7.25,8.67,7.17,10.00,7.42,7.25,7.50,-1.33,7.50,76.33,12 %,Green ,0 full defects,0 full defects,2,"September 9th, 2021",Specialty Coffee Association of Indonesia,"Ministry of Agriculture Republic Indonesia, Build C 5th Floor wing B Room 515 . Jl. Harsono RM No. 3, Ragunan, South Jakarta, Jakarta
",Mahardini Farizki - 081284251303 / 085780031543
Colombia,4,finca la costa,240 kg,Microlot,Asociación de Cafés Especiales de Nicaragua ,finca la frontera,2019,,"August 14th, 2020","southern viking trading company, llc",jack parker,1800,Other,caldas,Completed,Jack Parker and Paul Grant,Washed / Wet,6.83,7.33,6.75,7.33,6.58,10.00,7.33,6.75,7.17,-2.67,7.00,70.42,11 %,Green ,0 full defects,0 full defects,0,"August 14th, 2021",Asociación de Cafés Especiales de Nicaragua ,"Del Hotel Seminole 2 C al lago, 1 C arriba.",Maria Ines Benavidez Toval - 011-(505)-8396 4717
Honduras,92,la cuesta,30 kg,366,Instituto Hondureño del Café,dry mill,2019,13-111-208,"September 18th, 2020",mercon honduras,juan manuel sanchez silvestre,1500,Catuai,san andres,Completed,Bernardina Sanchez,Washed / Wet,7.75,6.00,7.50,6.00,7.42,6.00,7.50,7.50,7.67,-4.00,7.42,66.75,10 %,Green ,0 full defects,8 full defects,0,"September 18th, 2021",Instituto Hondureño del Café,"Laboratorio de Control de Calidad de Café ( CNCC), 33 Calle, 1-2 Avenida, Sector El Cacao. San Pedro Sula, Cortes",Ramon Reyes - + 504 9693-9042
